area_id,name,description,created_at,updated_at
1,"Chennai North Industrial Zone","Industrial area with factories and warehouses.","2025-10-12 10:00:00","2025-10-12 10:00:00"
2,"Chennai South Residential Sector","Residential area with housing complexes and schools.","2025-10-12 10:05:00","2025-10-12 10:05:00"
3,"Chennai Central Business District","Commercial hub with offices, malls, and corporate buildings.","2025-10-12 10:10:00","2025-10-12 10:10:00"
4,"Chennai Marina Coastal Area","Coastal zone used for tourism and leisure activities.","2025-10-12 10:15:00","2025-10-12 10:15:00"
5,"Chennai IT Park","Technology park with IT companies and startups.","2025-10-12 10:20:00","2025-10-12 10:20:00"
6,"Chennai Greenfield Zone","Newly developed eco-friendly and agricultural area.","2025-10-12 10:25:00","2025-10-12 10:25:00"
7,"Chennai Old Town","Historic region with heritage buildings and cultural sites.","2025-10-12 10:30:00","2025-10-12 10:30:00"
8,"Chennai Harbor Side","Maritime area with port and shipping activities.","2025-10-12 10:35:00","2025-10-12 10:35:00"
9,"Chennai University Enclave","Educational hub with universities and hostels.","2025-10-12 10:40:00","2025-10-12 10:40:00"
10,"Chennai Airport Zone","Region surrounding airport with logistics and transport.","2025-10-12 10:45:00","2025-10-12 10:45:00"
11,"Kolkata Central Business District","Major commercial hub in Kolkata city center.","2025-10-12 10:50:00","2025-10-12 10:50:00"
12,"Kolkata Howrah Industrial Zone","Industrial factories and warehouses near Howrah.","2025-10-12 10:55:00","2025-10-12 10:55:00"
13,"Kolkata Salt Lake Sector V","IT park and tech company area.","2025-10-12 11:00:00","2025-10-12 11:00:00"
14,"Kolkata Park Street Commercial Area","Popular shopping and entertainment street.","2025-10-12 11:05:00","2025-10-12 11:05:00"
15,"Kolkata North Residential Zone","Residential area with schools and parks.","2025-10-12 11:10:00","2025-10-12 11:10:00"
16,"Kolkata South Residential Zone","Suburban residential neighborhood.","2025-10-12 11:15:00","2025-10-12 11:15:00"
17,"Kolkata Esplanade","Historic and commercial central area.","2025-10-12 11:20:00","2025-10-12 11:20:00"
